timestamp,nthreads,requested_points,grid_dim,actual_points,points_found,found_percentage,computation_time,min_time,max_time,avg_time,num_runs
"2025-12-10 14:11:29",2,100000,316,99856,21595,21.63,0.056049,0.045719,0.076538,0.056049,3
"2025-12-10 14:11:30",2,400000,632,399424,86256,21.60,0.197439,0.192074,0.206056,0.197439,3
"2025-12-10 14:11:32",2,1000000,1000,1000000,215843,21.58,0.425805,0.416910,0.433210,0.425805,3
"2025-12-10 14:11:45",2,10000000,3162,9998244,2157278,21.58,4.068244,4.005028,4.156118,4.068244,3
"2025-12-10 14:11:45",4,100000,316,99856,21595,21.63,0.063036,0.049627,0.083087,0.063036,3
"2025-12-10 14:11:46",4,400000,632,399424,86256,21.60,0.174948,0.171213,0.179827,0.174948,3
"2025-12-10 14:11:47",4,1000000,1000,1000000,215843,21.58,0.323281,0.291028,0.360079,0.323281,3
"2025-12-10 14:11:56",4,10000000,3162,9998244,2157278,21.58,2.417495,2.366876,2.508838,2.417495,3
"2025-12-10 14:11:56",8,100000,316,99856,21595,21.63,0.048238,0.044718,0.054070,0.048238,3
"2025-12-10 14:11:56",8,400000,632,399424,86256,21.60,0.173105,0.165477,0.187145,0.173105,3
"2025-12-10 14:11:58",8,1000000,1000,1000000,215843,21.58,0.315515,0.303650,0.333203,0.315515,3
"2025-12-10 14:12:06",8,10000000,3162,9998244,2157278,21.58,2.467286,2.378498,2.523706,2.467286,3
